t=2023-10-17T17:25:59-0300 lvl=info msg="join connections" obj=join id=d764d036a082 l=[::1]:80 r=189.110.27.5:44264
t=2023-10-17T17:25:59-0300 lvl=info msg="join connections" obj=join id=29567b00eac4 l=[::1]:80 r=189.110.27.5:44264
t=2023-10-17T17:25:59-0300 lvl=info msg="join connections" obj=join id=1f8f0cd4f490 l=[::1]:80 r=189.110.27.5:44264
t=2023-10-17T17:25:59-0300 lvl=info msg="join connections" obj=join id=a30d5e15c928 l=[::1]:80 r=189.110.27.5:44264
t=2023-10-17T17:25:59-0300 lvl=info msg="join connections" obj=join id=578064b4bd29 l=[::1]:80 r=189.110.27.5:44264
t=2023-10-17T17:25:59-0300 lvl=info msg="join connections" obj=join id=d1be9cf431b8 l=[::1]:80 r=189.110.27.5:44264
t=2023-10-17T17:25:59-0300 lvl=info msg="join connections" obj=join id=9a83af533ae2 l=[::1]:80 r=189.110.27.5:44264
t=2023-10-17T17:25:59-0300 lvl=info msg="join connections" obj=join id=65ea6ff48e6d l=[::1]:80 r=189.110.27.5:44264
t=2023-10-17T17:25:59-0300 lvl=info msg="join connections" obj=join id=ab593da95d7e l=[::1]:80 r=189.110.27.5:44264
t=2023-10-17T17:25:59-0300 lvl=info msg="join connections" obj=join id=b302214a0b81 l=[::1]:80 r=189.110.27.5:44264
t=2023-10-17T17:25:59-0300 lvl=info msg="join connections" obj=join id=3259d1da8de9 l=[::1]:80 r=189.110.27.5:44264
t=2023-10-17T17:25:59-0300 lvl=info msg="join connections" obj=join id=f82170c5b64f l=[::1]:80 r=189.110.27.5:44264
t=2023-10-17T17:26:00-0300 lvl=info msg="join connections" obj=join id=6c4d7725e1dc l=[::1]:80 r=189.110.27.5:44264
t=2023-10-17T17:26:00-0300 lvl=info msg="join connections" obj=join id=58791ca74299 l=[::1]:80 r=189.110.27.5:44264
t=2023-10-17T17:26:00-0300 lvl=info msg="join connections" obj=join id=cfc325294f77 l=[::1]:80 r=189.110.27.5:44264
t=2023-10-17T17:26:00-0300 lvl=info msg="join connections" obj=join id=b489ce738657 l=[::1]:80 r=189.110.27.5:44264
t=2023-10-17T17:26:00-0300 lvl=info msg="join connections" obj=join id=bfc87dc65d8e l=[::1]:80 r=189.110.27.5:44264
t=2023-10-17T17:26:00-0300 lvl=info msg="join connections" obj=join id=1041f92d81d2 l=[::1]:80 r=189.110.27.5:44264
t=2023-10-17T17:26:00-0300 lvl=info msg="join connections" obj=join id=ef0ee1ef701d l=[::1]:80 r=189.110.27.5:44264
t=2023-10-17T17:26:00-0300 lvl=info msg="join connections" obj=join id=b9bcadedcd17 l=[::1]:80 r=189.110.27.5:44264
t=2023-10-17T17:26:00-0300 lvl=info msg="join connections" obj=join id=c1efa63906c5 l=[::1]:80 r=189.110.27.5:44264
t=2023-10-17T17:26:00-0300 lvl=info msg="join connections" obj=join id=5ec4a1888395 l=[::1]:80 r=189.110.27.5:44264
t=2023-10-17T17:26:00-0300 lvl=info msg="join connections" obj=join id=e384bf293f53 l=[::1]:80 r=189.110.27.5:44264
t=2023-10-17T17:26:02-0300 lvl=info msg="join connections" obj=join id=f8dbb4ae6856 l=[::1]:8080 r=189.110.27.5:49166
t=2023-10-17T17:26:02-0300 lvl=info msg="join connections" obj=join id=16643727668c l=[::1]:8080 r=189.110.27.5:49166
t=2023-10-17T17:26:02-0300 lvl=info msg="join connections" obj=join id=c37d6ea56d32 l=[::1]:8080 r=189.110.27.5:49166
t=2023-10-17T17:26:02-0300 lvl=info msg="join connections" obj=join id=a7be7bf1111a l=[::1]:8080 r=189.110.27.5:49166
t=2023-10-17T17:26:14-0300 lvl=info msg="join connections" obj=join id=5c3b171abe02 l=[::1]:8080 r=189.110.27.5:49166
t=2023-10-17T17:26:28-0300 lvl=info msg="join connections" obj=join id=bbad75d9ac82 l=[::1]:8080 r=189.110.27.5:50927
t=2023-10-17T17:26:28-0300 lvl=info msg="join connections" obj=join id=b00e623163c7 l=[::1]:8080 r=189.110.27.5:50927
t=2023-10-17T17:26:28-0300 lvl=info msg="join connections" obj=join id=b0605605d0bb l=[::1]:8080 r=189.110.27.5:50927
t=2023-10-17T17:26:28-0300 lvl=info msg="join connections" obj=join id=ccda481e052e l=[::1]:8080 r=189.110.27.5:50927
t=2023-10-17T17:26:28-0300 lvl=info msg="join connections" obj=join id=06a27b6cffc3 l=[::1]:8080 r=189.110.27.5:50927
t=2023-10-17T17:26:35-0300 lvl=info msg="join connections" obj=join id=2f7c46a47931 l=[::1]:8080 r=189.110.27.5:50927
t=2023-10-17T17:26:35-0300 lvl=info msg="join connections" obj=join id=ea0c60634410 l=[::1]:8080 r=189.110.27.5:50927
t=2023-10-17T17:26:35-0300 lvl=info msg="join connections" obj=join id=34e65f43e5e1 l=[::1]:8080 r=189.110.27.5:50927
t=2023-10-17T17:26:45-0300 lvl=info msg="join connections" obj=join id=534b9785fe8b l=[::1]:8080 r=189.110.27.5:50927
t=2023-10-17T17:26:45-0300 lvl=info msg="join connections" obj=join id=46fec13f4b9d l=[::1]:8080 r=189.110.27.5:50927
t=2023-10-17T17:26:45-0300 lvl=info msg="join connections" obj=join id=50c4f1935bae l=[::1]:8080 r=189.110.27.5:50927
t=2023-10-17T17:26:45-0300 lvl=info msg="join connections" obj=join id=bb38c3dd7294 l=[::1]:8080 r=189.110.27.5:50927
t=2023-10-17T17:26:55-0300 lvl=info msg="join connections" obj=join id=1283e5af465e l=[::1]:80 r=189.110.27.5:50882
t=2023-10-17T17:26:55-0300 lvl=info msg="join connections" obj=join id=50627c9aca8b l=[::1]:8080 r=189.110.27.5:50927
t=2023-10-17T17:26:55-0300 lvl=info msg="join connections" obj=join id=292664e3941e l=[::1]:8080 r=189.110.27.5:50927
t=2023-10-17T17:26:55-0300 lvl=info msg="join connections" obj=join id=0c5cb19a83c8 l=[::1]:8080 r=189.110.27.5:50927
t=2023-10-17T17:26:55-0300 lvl=info msg="join connections" obj=join id=4f9df6afb61d l=[::1]:8080 r=189.110.27.5:50927
t=2023-10-17T17:27:01-0300 lvl=info msg="join connections" obj=join id=ffd47cb0fd54 l=[::1]:8080 r=189.110.27.5:44908
